review_id,comment_clean,image_url,avg_rating,food_score,price_score,atmosphere_score
2231597,Vẫn thích không gian ở đây nhất.,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9t1qphhgbf38@resize_w800,7.2,7.0,6.0,8.0
817361,"Quán trang trí đẹp theo kiểu thiên nhiên, mát mẻ. Nếu muốn tránh nắng nóng Sài Gòn thì quán là lựa chọn lý tưởng. Nhân viên phục vụ rất nhiệt tình chu đáo. Trà đá thì cứ được rót liên tục nên ngồi từ sáng tới chiều cũng được :v. Cà phê với cà phê sữa thì khoảng 40k tới 45k một ly.",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwb2awnwc5i1c9@resize_w800,8.2,7.0,7.0,10.0
3678762,"Nấm hương xào cải xanh rất tươi, thơm ngon Cơm chiên san fu lou là món cơm chiên ngon nhất mình từng được ăn, cực kì thơm, dậy mùi vị món cơm, có cả tôm và sò điệp, trứng chiên rất mềm và thơm, không bị khô mặc dù rất mỏng Há cảo xíu mại rất dai, thơm, ăn cực kì thích, rất đậm vị Há cảo tôm thì vỏ hơi mỏng, vừa gấp lên đã rách tí vỏ, nhưng bù lại phần nhân full tôm rất ngon và thơm Món hoành thánh chiên rất ngon, nhân hải sản rất thơm, đặc biệt là nước chấm rất lạ, ăn ngon miệng Canh hải sâm ngọt nước, mùi vị không đặc sắc lắm nhưng tạm ổn Bánh bao phong xa đặt tên vậy thôi chứ thật ra là bánh bao kim sa như mọi người thường gọi. Bột bánh mềm, xốp, khá ngon nhưng nhân bên trong hơi lỏng và hơi ngọt Nhìn chung, quán trang trí và không gian rất hợp cho các cuộc gặp mặt làm ăn, gia đình gặp mặt, món ăn nêm rất vừa ăn, thanh vị. Phục vụ rất nhanh lẹ nhưng có điều mang món lên dồn dập ăn không nhanh thì sẽ mau nguội.",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9t1fc84ct7b1@resize_w800,7.0,7.0,7.0,7.0
4061498,"Tiệm này gần nhà mình, giá không mềm nhưng lâu lâu thèm bánh ngọt vẫn chạy qua đây mua về ăn lai rai. Tiệm có nhiều loại bánh ngọt lắm, mình thì chỉ thích mấy thứ liên quan đến cheese hoặc socola thôi. Cũng có lần thử mua bánh mặn, nhưng mình không thích lắm. Nhân bánh ít mà vỏ ngoài hơi ngán, nói chung không ấn tượng. Ở đây không có Brownie mà có 1 loại bánh cũng hao hao như Brownie, nặng bột và hơi ngán, ăn thử cho biết chứ không thể bằng brownie được. Muffin thì okie, ruột bánh mềm, thơm socola.",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwadi3zuba3fdb@resize_w800,7.0,7.0,7.0,7.0
1947809,"Quán này là đúng gu mình, nấu đúng chất bắc, vị thanh của cà chua, riêu rất ngon, ko bị pha giống quán khác, nên hễ muốn ăn bún riêu là mình ghé đây.",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwcjgrxmwsm125@resize_w800,8.6,9.0,9.0,9.0
3497510,"Bạn mình làm gần đây nên rủ mình ra ăn trưa. Nghe đồn đây là chuỗi nhà hàng chuyên bán lươn khá lớn của Nhật. Do team đi đông nên cũng gọi khá nhiều. Vì quán chuyên bán lươn nên menu cũng toàn lươn thôi, 1 phần khá nhiều nên ăn no căng bụng luôn ấy. Bạn mình gọi thử set cơm lươn bất ngờ, set siêu lớn, share 2,3 người còn được luôn á. Thịt lươn ướp siêu ngon, hơi ngọt xíu, ko bị mặn nha, ăn chung cơm dẻo cực ngon luôn. Phần set cơm ăn chung trà rất đáng thử, có rau đỡ ngán nữa, nước dùng trong bình trà như canh miso nhưng ko bị nồng, dễ ăn lắm. Giá cả mình thấy khá rẻ nếu so với các tiệm đồ Nhật cùng bán cơm lươn. Phục vụ siêu nice luôn, vui vẻ là tươi cười. Quán có phòng riêng luôn nè. Nói chung nhất định mình sẽ quay lại.",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwguzsjl77ix2d@resize_w800,8.0,8.0,8.0,8.0
3971494,"Mình hay ăn chi nhánh Sư Vạn Hạnhh hoặc Cộngg Hòa vì gần nhà với cả gần trường hơn. Nay qua nhà bạn chơi ở Bình Thạnh cái ghé thử chi nhánh này. 📍 Vị trí: nằm trên đường Xô Viết Nghệ Tĩnhh, cứ chạy qua cầu Thị Nghè một đoạn là thấy. 🏡 Không gian: rộng rãi, có không gian ngoài trời lẫn máy lạnh, tuy nhiên chi nhánh nào của Hanuri cũng đông hết mà bàn ghế cứ san sát nhau nên không thoải mái cho lắm 🍽 Món ăn: mình gọi gà chiên cay ngọt 68k/6 miếng, tokbokki 45k, cơm phô mai kim chi 52k, kimbap 40k. Món nào cũng ngon, gà thấm sốt, cơm có cái trứng bên trên trộn lên ăn ngon lắm. Ở Hanuri , kimchi với soup tự phục vụ nha 💃🏻 Nhân viên: nhanh nhẹn 💰 Gía cả: phù hợp với sinh viên. Tổng thiệt hại 205k/ 3 người no căng bụng luôn.",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwa7uxje4vdn20@resize_w800,7.8,8.0,8.0,7.0
3935394,"Quán này mình tới ăn và order cũng vài lần , nay bán thêm hồng trà chanh nữa nha 🍋 mua lẻ thì 12k/ ly (uống cũng được) mà có bán theo combo súp luôn (chưa đến 50k/ combo nên thấy cũng được) . Súp có nấu kèm sụn gà nhai sần sật nè nhưng hơi ít cua (ai mê cua thịt nhiều sẽ khá thất vọng) . Do giao gần nên tới tay còn nóng ấm nha , đủ no nê buổi trưa rồi . Shipper Now thân thiện và giao hàng nhanh chóng , lịch sự nên mình hài lòng lắm !!",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwarinbuh2orfb@resize_w800,7.8,8.0,8.0,7.0
18569979,"Món American Hotdog tại quán thật sự là một trải nghiệm ẩm thực tuyệt vời mà bất kỳ ai yêu thích đồ ăn nhanh cũng không nên bỏ qua. Khi đĩa hotdog được mang ra, tôi lập tức bị thu hút bởi vẻ ngoài hấp dẫn của nó. Chiếc bánh mì vàng óng, mềm mại ôm trọn lấy cây xúc xích đỏ au bên trong, được rưới đều lớp sốt vàng mịn của mù tạt và sốt cà chua tươi tắn. Cảm nhận đầu tiên khi cắn vào miếng hotdog là sự kết hợp hoàn hảo giữa độ giòn nhẹ của vỏ bánh mì, vị đậm đà của xúc xích nướng vừa chín tới, cùng vị chua ngọt hài hòa của hai loại sốt. Xúc xích có độ dai vừa phải, không bị bở hay khô, đặc biệt là hương khói nhẹ mang lại cảm giác như đang thưởng thức một chiếc hotdog chuẩn Mỹ. Một trong những điểm đặc biệt của món hotdog ở đây là bánh mì không quá khô hay cứng mà có độ mềm vừa phải, làm tăng sự hài hòa khi ăn cùng xúc xích. Thêm vào đó, lượng sốt vừa đủ, không quá nhiều cũng không quá ít, giúp món ăn không bị ngấy nhưng vẫn giữ được độ đậm đà. Nếu thích thêm chút hương vị mới lạ, thực khách có thể chọn thêm dưa chua hoặc hành tây băm nhỏ để tạo độ giòn và chua nhẹ, giúp cân bằng vị béo của xúc xích. Bên cạnh đó, mức giá chỉ 30.000 đồng cho một phần hotdog như thế này thật sự quá hợp lý. So với chất lượng món ăn và khẩu phần, đây chắc chắn là một sự lựa chọn tuyệt vời cho một bữa ăn nhẹ hoặc ăn nhanh trong ngày. Không gian quán cũng rất thoải mái, gọn gàng và sạch sẽ, tạo cảm giác dễ chịu khi thưởng thức món ăn. Nhân viên phục vụ nhiệt tình, nhanh nhẹn, giúp khách hàng có trải nghiệm tốt hơn. Một điểm cộng nữa là quán mở cửa từ 9h sáng đến 10h tối, rất thuận tiện cho những ai muốn thưởng thức một bữa ăn nhanh mà không cần lo lắng về thời gian. Tóm lại, American Hotdog tại quán không chỉ ngon miệng mà còn chuẩn vị, phù hợp với những ai yêu thích món ăn đường phố kiểu Mỹ. Từ chất lượng nguyên liệu, cách chế biến, đến không gian quán và giá cả, tất cả đều tạo nên một địa điểm đáng để ghé thăm. Nếu bạn là người yêu thích hotdog hoặc đang tìm kiếm một bữa ăn nhanh gọn mà vẫn ngon miệng, thì đây chắc chắn",https://down-vn.img.susercontent.com/vn-11134259-7ra0g-m7ouwve6y7ib12@resize_w800,10.0,10.0,10.0,10.0
1990258,"Nghe bạn đồn bánh mì đây ngon nên là đặt ăn cho biết. Bánh mì mình để tầm 30p thì nó hơi cứng, khá ít phô mai, cái trắng trắng là phô mai đó. Ổ này 20k thì cũng oke nếu là bò thiệt :)) Ăn cũng ổn, không dở mà cũng không quá ngon",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8kp6iywyqj67@resize_w800,7.0,7.0,7.0,7.0
